radio,mcc,lon,lat
GSM,404,73.862286,18.498659
GSM,404,73.864603,18.499947
UMTS,405,73.83018494,18.48381042
UMTS,405,73.83018494,18.48381042
UMTS,404,73.856003,18.460739
UMTS,404,73.865662,18.470993
UMTS,405,73.798011,18.50696
GSM,404,73.854218,18.458748
GSM,404,73.864346,18.498745
GSM,404,73.867722,18.496628
UMTS,404,73.85215759,18.48106384
UMTS,404,73.813019,18.493767
UMTS,404,73.83842468,18.50440979
GSM,404,73.854218,18.456001
GSM,404,73.852238,18.457233
GSM,404,73.85215759,18.50578308
GSM,404,73.816123,18.492321
UMTS,404,73.825516,18.491226
UMTS,404,73.84529114,18.4563446
UMTS,404,73.84529114,18.4563446
GSM,404,73.81782532,18.49342346
GSM,404,73.81782532,18.49342346
GSM,404,73.809311,18.450851
GSM,404,73.78898621,18.48518372
UMTS,404,73.856964,18.461838
UMTS,404,73.799286,18.50029
GSM,404,73.81568,18.501663
UMTS,404,73.800796,18.50853
UMTS,404,73.802719,18.509216
UMTS,404,73.781433,18.461838
GSM,404,73.80409241,18.44398499
GSM,405,73.81507874,18.44673157
GSM,405,73.84666443,18.46458435
UMTS,405,73.793449,18.508873
UMTS,405,73.793449,18.507843
GSM,404,73.804436,18.50132
UMTS,404,73.801689,18.499947
UMTS,404,73.801804,18.50029
GSM,404,73.857651,18.495071
UMTS,404,73.81279,18.495255
GSM,404,73.812881,18.495987
GSM,404,73.819938,18.466169
GSM,404,73.79423,18.486058
GSM,404,73.815287,18.493715
GSM,404,73.817654,18.506126
GSM,404,73.788712,18.486557
UMTS,404,73.79722595,18.46733093
GSM,405,73.86039734,18.50578308
UMTS,404,73.79859924,18.46733093
GSM,404,73.837306,18.500137
GSM,404,73.839455,18.497887
GSM,404,73.836021,18.494797
GSM,405,73.831215,18.49308
GSM,405,73.832245,18.49411
GSM,405,73.843002,18.499374
GSM,405,73.84639,18.501389
GSM,405,73.848038,18.501075
GSM,404,73.856449,18.471279
GSM,404,73.856621,18.471966
GSM,404,73.857412,18.482198
GSM,404,73.857401,18.493299
GSM,404,73.81845,18.481438
UMTS,404,73.828354,18.506699
UMTS,404,73.827438,18.503723
GSM,404,73.845714,18.505361
GSM,404,73.808059,18.49667
GSM,405,73.82194519,18.43986511
GSM,404,73.835129,18.449478
GSM,404,73.830528,18.448534
GSM,404,73.829793,18.456345
UMTS,405,73.820572,18.509445
UMTS,404,73.8507843,18.4577179
UMTS,404,73.80271912,18.48518372
UMTS,404,73.837051,18.499466
UMTS,404,73.83705139,18.49891663
UMTS,404,73.828125,18.487587
UMTS,404,73.839111,18.457718
GSM,404,73.818375,18.48793
GSM,405,73.811645,18.500977
GSM,405,73.814621,18.49823
GSM,404,73.82331848,18.47831726
UMTS,404,73.79173279,18.50166321
UMTS,404,73.78761292,18.49479675
UMTS,404,73.79173279,18.49067688
UMTS,404,73.79447937,18.4879303
UMTS,404,73.7903595,18.49067688
UMTS,404,73.8205719,18.45497131
UMTS,404,73.8205719,18.45497131
UMTS,404,73.8205719,18.4563446
GSM,405,73.863042,18.468857
UMTS,404,73.7903595,18.48518372
UMTS,404,73.84941101,18.50852966
UMTS,404,73.855728,18.461838
GSM,404,73.804642,18.496719
UMTS,404,73.813553,18.49617
UMTS,404,73.848038,18.449978
UMTS,404,73.824692,18.470901
GSM,404,73.85353088,18.45222473
GSM,405,73.79242,18.459091
GSM,405,73.7903595,18.46595764
GSM,405,73.798599,18.462525
UMTS,404,73.77250671,18.50990295
UMTS,404,73.77250671,18.50990295
UMTS,404,73.77250671,18.50990295
GSM,404,73.81095886,18.45359802
GSM,404,73.829475,18.507298
UMTS,404,73.854218,18.50647
UMTS,405,73.796768,18.50441
